Instance,Optimal,Calculated,RelErr,Runtime, algo
large_1,9147.0,9109.5,0.0,1.8448673963546753,LS1
large_2,11238.0,11107.6,0.01,3.4330174207687376,LS1
large_3,28857.0,28629.6,0.01,8.415536522865295,LS1
large_4,54503.0,53875.5,0.01,16.632767152786254,LS1
large_5,110625.0,108730.7,0.02,32.85111162662506,LS1
large_6,276457.0,241527.6,0.13,80.69905514717102,LS1
large_7,563647.0,411250.2,0.27,159.32218818664552,LS1
large_8,1514.0,1477.3,0.02,1.7560678958892821,LS1
large_9,1634.0,1593.7,0.02,3.1899028062820434,LS1
large_10,4566.0,4439.1,0.03,7.9745036363601685,LS1
large_11,9052.0,8906.5,0.02,16.11071569919586,LS1
large_12,18051.0,17409.7,0.04,31.805232572555543,LS1
large_13,44356.0,40010.8,0.1,78.26105136871338,LS1
large_14,90204.0,73428.5,0.19,154.40008850097655,LS1
large_15,2397.0,2296.1,0.04,1.8448575973510741,LS1
large_16,2697.0,2655.9,0.02,3.3168203592300416,LS1
large_17,7117.0,6967.0,0.02,8.236597871780395,LS1
large_18,14390.0,14170.0,0.02,16.615626883506774,LS1
large_19,28919.0,28545.1,0.01,33.355962944030765,LS1
large_20,72505.0,66918.9,0.08,81.29695162773132,LS1
large_21,146919.0,123657.8,0.16,160.01128475666047,LS1
small_1,295.0,294.8,0.0,0.4055603504180908,LS1
small_2,1024.0,1023.4,0.0,0.7338268041610718,LS1
small_3,35.0,35.0,0.0,0.2595707416534424,LS1
small_4,23.0,23.0,0.0,0.24199743270874025,LS1
small_5,481.0694,481.06936800000005,0.0,0.5478564500808716,LS1
small_6,52.0,52.0,0.0,0.3843357086181641,LS1
small_7,107.0,107.0,0.0,0.30199949741363524,LS1
small_8,9767.0,9766.6,0.0,0.7262234926223755,LS1
small_9,130.0,130.0,0.0,0.2979398012161255,LS1
small_10,1025.0,1023.8,0.0,0.744661831855774,LS1
large_1,9147.0,8834.7,0.03,0.9883118391036987,LS2
large_2,11238.0,10603.3,0.06,2.016384315490723,LS2
